"","total","crisis","normal"
"ar",1.27026226389511,2.89591363966137,0.577647412275736
"pred_dfm_alldata",1.15055366523365,2.38126575740159,0.708772897931775
"pred_dfm_after_pre",1.31563939065276,2.95861443952819,0.635469770426444
"pred_dfm_doublepca",1.31563939065276,2.95861443952819,0.635469770426444
"pred_ols",1.06619251549983,2.15675549969651,0.687420578919974
"pred_ms",1.52488473421641,3.21752314840452,0.899069362660658
"pred_qr",1.03412466985648,1.95324460396471,0.741978315172537
"pred_rf",1.22041085860116,2.76038759305792,0.575251059868514
"pred_xgbt",1.18424113801827,2.62130457064653,0.607413416071346
"pred_mrf",1.01388657888515,2.165593876165,0.579626143056564
"pred_mean",0.881192035286458,1.75960337741718,0.581489485495865
